AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
0.73,0.0,0.0,0.71,0.04,1.22,0.0,0.37,0.0,0.0,1.2,0.48,0.42,0.0,1.76,0.06,0.49,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
0.74,0.02,0.0,0.46,0.0,0.72,0.0,0.43,0.0,0.0,1.45,0.34,0.54,0.0,1.7,0.31,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
0.81,0.12,0.0,0.14,0.0,1.18,0.05,0.85,0.0,0.0,1.33,0.0,0.67,0.0,1.55,0.0,0.48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.27,0.0,0.0,0.09,0.0,1.06,0.0,0.21,0.0,0.0,1.53,0.25,0.99,0.0,1.75,0.0,0.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.64,0.0,0.0,0.12,0.0,0.76,0.0,0.09,0.0,0.0,1.14,0.12,0.7,0.0,1.49,0.0,0.58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.83,0.0,0.06,0.11,0.0,1.08,0.0,0.41,0.0,0.0,1.3,0.0,1.08,0.0,1.71,0.0,0.83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,0.0,0.0,0.14,0.0,0.05,0.0,0.29,0.0,0.0,1.19,0.08,1.05,0.0,1.75,0.0,2.03,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.89,0.0,0.0,0.61,0.0,0.0,0.0,0.12,0.0,0.0,1.29,0.0,1.11,0.0,2.02,0.14,2.07,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.97,0.14,0.0,0.0,0.0,0.39,0.0,0.45,0.0,0.0,1.27,0.0,1.48,0.0,2.05,0.59,2.38,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.08,0.14,0.0,0.19,0.0,0.09,0.0,0.36,0.0,0.0,1.42,0.08,1.18,0.0,1.81,0.63,2.29,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.63,0.0,0.0,0.0,0.0,0.95,0.12,0.15,0.0,0.0,0.89,0.07,0.79,0.0,1.48,0.01,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
0.75,0.0,0.0,0.0,0.01,0.0,0.18,0.35,0.0,0.0,1.16,0.0,1.04,0.0,1.56,0.0,2.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.77,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,1.45,0.0,1.3,0.0,2.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.44,0.0,0.09,0.05,0.12,0.95,0.15,0.0,0.0,0.0,0.77,0.0,0.74,0.0,1.28,0.0,1.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.54,0.0,0.0,0.07,0.28,1.16,0.12,0.0,0.0,0.0,0.76,0.0,1.05,0.0,1.26,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.69,0.06,0.0,0.0,0.02,0.77,0.25,0.0,0.0,0.0,0.84,0.0,0.85,0.0,1.26,0.0,1.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.79,0.0,0.0,0.0,0.0,0.09,0.02,0.11,0.0,0.0,0.75,0.34,0.77,0.02,1.17,0.0,0.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.53,0.0,0.0,0.22,0.0,0.12,0.0,0.0,0.0,0.0,0.87,0.0,0.86,0.0,1.15,0.0,0.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
0.78,0.0,0.0,0.11,0.0,0.28,0.0,0.06,0.0,0.0,0.81,0.13,0.84,0.0,1.09,0.0,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,1.36,0.0,1.31,0.0,0.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.87,0.12,0.0,0.56,0.0,0.46,0.0,0.0,0.0,0.0,0.92,0.0,1.33,0.0,1.39,0.0,0.53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
