AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
0.0,0.0,0.0,1.65,0.0,1.4,0.0,0.56,0.1,0.12,1.53,0.0,0.51,0.0,1.86,1.3,0.29,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.01,0.0,0.0,1.34,0.06,0.51,0.0,0.69,0.28,0.0,1.33,0.0,0.72,0.0,1.92,1.45,0.24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.09,0.0,0.0,1.36,0.0,0.71,0.0,0.69,0.12,0.0,1.32,0.0,0.7,0.0,1.98,1.32,0.28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.14,0.14,1.1,0.0,0.46,0.2,0.27,1.23,0.0,0.97,0.0,1.84,1.87,0.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0.28,0.2,0.0,1.35,0.04,0.69,0.0,0.47,0.1,0.15,1.27,0.0,1.11,0.0,1.94,1.41,0.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.01,0.0,0.0,1.2,0.15,0.79,0.0,0.55,0.13,0.03,1.26,0.0,0.97,0.0,1.77,1.45,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.34,0.17,0.96,0.0,0.39,0.02,0.0,1.22,0.0,0.92,0.0,1.76,0.9,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.65,0.09,0.72,0.0,0.57,0.1,0.0,1.22,0.0,1.15,0.0,1.87,1.44,0.24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.35,0.0,0.73,0.0,0.83,0.0,0.0,1.58,0.75,0.96,0.12,1.17,0.99,0.08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
0.08,0.0,0.0,1.37,0.0,0.89,0.0,0.58,0.0,0.0,1.41,0.88,1.03,0.06,1.21,0.58,0.15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.41,0.0,0.33,0.0,0.46,0.0,0.0,1.54,0.63,0.9,0.0,1.31,0.42,0.17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,1.08,0.0,0.46,0.0,0.7,0.02,0.0,1.64,0.87,1.02,0.05,1.37,0.75,0.07,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
0.06,0.0,0.0,0.78,0.0,0.75,0.0,0.36,0.0,0.0,1.54,0.46,0.99,0.01,1.29,0.51,0.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.41,0.0,0.18,0.0,0.37,0.0,0.0,1.5,0.94,1.16,0.18,1.21,1.13,0.15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
0.06,0.09,0.0,1.21,0.0,0.56,0.0,0.54,0.0,0.0,1.41,0.74,1.06,0.0,1.1,0.43,0.06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.24,0.0,0.76,0.0,0.32,0.0,0.0,1.57,0.56,1.22,0.0,1.13,0.81,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.44,0.0,0.0,0.46,0.0,1.13,0.0,0.3,0.0,0.0,1.36,0.17,0.41,0.0,1.34,0.3,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0.31,0.0,0.0,0.4,0.0,0.76,0.0,0.39,0.0,0.0,1.14,0.17,0.79,0.0,1.43,0.37,0.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
